0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:11:26 +0900] "GET /03_javascript/day03/notice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:12:44 +0900] "GET /03_javascript/day03/ex07_location.html HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:12:52 +0900] "GET /03_javascript/day03/ex07_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:13:28 +0900] "GET /03_javascript/day03/ex07_location.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [29/Jun/2023:13:13:29 +0900] "GET /03_javascript/day03/ex02_date.html HTTP/1.1" 200 2577
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:49:15 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:49:54 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:50:38 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:52:20 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:52:40 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:56:58 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:57:07 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:57:08 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:57:09 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:57:10 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:57:12 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:57:12 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:57:12 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:57:13 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:57:27 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:57:31 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:14:57:33 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:00:19 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:00:42 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:09:20 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:09:22 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:09:30 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:09:30 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:09:31 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:09:39 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:09:41 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 304 -
